Site,Location,Ashtray,Type,Direction,Easting,Northing
"Lower Granton Road","On cycleway at lights",Yes,Topsy,SB,324807.72,676999.62
"Pennywell Road","Outside school at bus stop",Yes,Barnsley,NB,321862.79,676370.13
"Pennywell Road",,Yes,"Wybone S/l",WB,322151.64,675658.59
"Newhaven Road","Opposite No 152",Yes,Topsy,NB,325750.56,676508.69
"Newhaven Road","Outside No 210a",Yes,"Derby Slimline",NB,325633.22,676773.43
"Newhaven Road","Opposite No 134",Yes,Topsy,NB,325839.23,676368.68
"Newhaven Road","Beside lamp post No VCP 05",Yes,"Derby Standard Green","Not Applicable",325656.21,676493.07
"Caledonian Cycle Track","Beside cycleway",Yes,"Derby Standard Green",SB,324185.25,675196.7
"Granton Mains Gait","On jct with granton mains bank",Yes,Brunel,EB,322309.86,676572.32
"Granton Mains Avenue","At back of shops",Yes,Brunel,SB,322341.63,676589.78
"Granton Road",,Yes,"Wybone S/L",NB,324226.78,676429.69
"Granton Road","Opposite 104",Yes,Topsy,WB,324257.55,676408.44
"Granton Road",,Yes,"Wybone S/L",WB,324229.96,676457.81
"Trinity Crescent","On cycleway at lights",Yes,Topsy,SB,324831.43,677016.58
"Trinity Crescent","Corner of trinity crescent/lower granton road",Yes,Topsy,SB,324838.62,676996.19
"Waterfront Park","At roundabout",Yes,Wybone,EB,321961.16,676734.61
"Boswall Place",,Yes,Wybone,"Not Applicable",323708.66,676066.56
"West Shore Road","At parking bays",Yes,"Derby Standard",EB,322630.23,677358.5
"Muirhouse Drive","Muirhouse drive within park",Yes,"Derby Standard Green","Not Applicable",321235.1,676070.74
"Muirhouse Linear Park Play Area","Inside muirhouse liner park",Yes,"Derby Standard Green","Not Applicable",321277.73,675967.98
"Pilton Crescent","On grass at park sign",Yes,"Derby Standard Green",NB,323558.56,676421.14
"South Laverockbank Avenue","Outside W D Johnson grocer",Yes,Neopolitan,SB,325278.22,676710.8
