Site,Location,Ashtray,Type,Direction,Easting,Northing
"Ferniehill Terrace","pathway Lp Fbm 09",Yes,Topsy,EB,329285.47,668919.16
"Fernieside Avenue","Fernieside Drive",Yes,"Derby Standard Green",WB,329497.75,669543.39
"Fernieside Drive","Fernieside Drive",Yes,"Derby Standard Green",EB,329405.21,669605.81
"Frogston Road East","At Mortonhall Park Avenue",Yes,"Derby Slimline",EB,326794.25,668023.25
"Frogston Road East","Opposite Mortonhall Park Avenue",Yes,"Derby Slimline",WB,326754.79,668015.26
"Frogston Road East","At bus stop Opposite Ming Palace",Yes,"Derby Slimline",WB,327362.77,668055.69
"Frogston Road East","At lamppost 28",Yes,"Derby Slimline",EB,326983.57,668005.95
"Frogston Road East","At top of path leading to Mortonhall",Yes,"Derby Slimline",EB,327298.35,668039.65
"Gilmerton Dykes Street","Opposite bus terminus",Yes,Wybone,EB,328980.13,668438.42
"Gilmerton Dykes Street","Outside Newsagent",Yes,Brunel,SB,328371.16,668489.79
"Gilmerton Dykes Street","At bus terminus",Yes,Wybone,WB,328970.32,668420.95
"Gilmerton Dykes Street","Entrance to walkway",Yes,"Half Edinburgh",SB,328528.69,668512.77
"Gilmerton Dykes Street","Outside number 46",Yes,Wybone,SB,328598.17,668473.97
"Gilmerton Dykes Street","Outside Bakers",Yes,Brunel,SB,328361.45,668486.31
"Gilmerton Dykes Street","At Bus Terminus",Yes,Wybone,WB,328956.1,668414.24
"Gilmerton Dykes Street","Outside 15",Yes,Wybone,EB,328370.64,668501.85
"Gilmerton Dykes Street","Opposite 21",Yes,Wybone,WB,328392.79,668497.8
"Gilmerton Dykes Street","On Bridge over Burn",Yes,"Half Edinburgh",EB,328485.37,668518.88
"Gilmerton Dykes Street","At entrance to park near shops",Yes,Barnsley,SB,328394.31,668482.57
"Gracemount Drive","In play area",No,Routemaster,EB,327639.79,668610.39
"Gracemount Drive","play area",No,Routemaster,EB,327637.72,668603.67
"Gracemount Drive","Outside Bakers Brunch",Yes,"Derby Standard",EB,327826.95,668290.16
"Gracemount Drive","At seating area opposite chip shop",Yes,"Derby Standard",NB,327837.16,668309.27
"Gracemount Drive","Outside leisure centre",Yes,"Derby Double Slimline",EB,327891.27,668366.91
"Gracemount Drive","play area back of Tesco",No,Routemaster,EB,327883.3,668343.82
"Lasswade Road","Bus stop outside Guthrie Court",Yes,Neopolitan,WB,327660.29,669391.46
"Howden Hall Court","At lampposy HDM 41",Yes,Neopolitan,WB,326629.54,668524.51
"Howden Hall Road","Bus stop outside Crematorium",Yes,"Derby Slimline",NB,327191.48,668407.46
"Howden Hall Road","At footpath leading to Howdwnhall",Yes,"Derby Slimline",NB,327243.59,668280.91
"Kenilworth Drive","Outside number 03",Yes,"Derby Slimline",WB,327696.05,669689.68
"Lasswade Road","Bus stop after 102",Yes,"Derby Slimline",WB,327825.84,669029.91
"Lasswade Road","Bus stop Outside number 239",Yes,Neopolitan,EB,328260.13,668501.84
"Lasswade Road","At bus stop opposite 231",Yes,Neopolitan,WB,328214.86,668529
"Lasswade Road","Bus stop outside Northfield House Hotel",Yes,Wybone,EB,327986,668821.74
"Lasswade Road","Opposite Lockerby Crescent",Yes,Neopolitan,WB,328087.62,668679.38
"Lasswade Road","At Lockerby cottages",Yes,Neopolitan,EB,328146.96,668631.1
"Lasswade Road","After the Murrays",Yes,Wybone,NB,328503.37,668085.93
"Lasswade Road","Bus stop opposite Guthrie Court",Yes,Neopolitan,EB,327686.14,669347.14
"Lasswade Road","Bus stop at 80",Yes,Neopolitan,WB,327749.61,669182.33
"Lasswade Road","Bus stop opposite the Murrays",Yes,Wybone,EB,328562.35,668040.21
"Lasswade Road","Entrance to Burdiehouse Park",Yes,"Derby Round",WB,328347.35,668305.47
"Lasswade Road","Opposite number 114",No,Neopolitan,SB,327886.6,668950.98
"Southhouse Road","At shops",Yes,"Derby Standard","Not Applicable",327739.97,667875.39
"Liberton Drive",,Yes,Neopolitan,WB,327037.06,669360.67
"Malbet Park","At entrance to school",Yes,"Wybone S/l","Not Applicable",327895.84,669304.44
"Howden Hall Road","At bus stop outside number 65",Yes,"Derby Slimline","Not Applicable",327332.2,668148.75
"Howden Hall Road","At bus stop Opposite number 65",Yes,"Derby Slimline","Not Applicable",327324.61,668155.22
"Lasswade Bank","At end on road on walkway",Yes,"Derby Slimline","Not Applicable",328133.94,668339.85
"Burdiehouse Burn Valley Park Play Area","Inside the play area",Yes,"Brox S/L","Not Applicable",328204.23,668215.54
"Ferniehill Community Park","Ferniehill terrace entrance to park",Yes,"Derby Round","Not Applicable",329316.49,669063.63
"Drum Street","At junction of Drum street and candlemakers park",Yes,Neopolitan,"Not Applicable",329650.08,668464.27
"Drum Street","Outside iceland at bus stop",Yes,"Wheelie Bin","Not Applicable",329220.4,668694.94
"Drum Street","At newsagent",Yes,Brunel,"Not Applicable",329233.59,668675.57
"Drum Street",,Yes,Wybone,SB,329222.72,668699.36
"East Kilngate Place",,Yes,"Derby Slimline","Not Applicable",328860.24,668112.62
"Moredunvale Place","Opposite Goodtrees centre","Not Applicable","Half Edinburgh","Not Applicable",328883.08,669677.14
"Old Dalkeith Road","At entrance to Inch park",Yes,"Derby Round","Not Applicable",327908.61,671010.36
"Old Dalkeith Road","At bus stop outside number 217  Old Dalkeith Roa",Yes,"Not Applicable",WB,328933.37,670232.38
"Liberton Gardens","At side of number 8",Yes,"Derby Slimline Green","Not Applicable",327380.82,669360.84
"Ferniehill Road","Outside chemist",Yes,"Wybone S/l","Not Applicable",329173.11,668804.71
"Mount Vernon Road","At gate to cemerty",Yes,Barnsley,WB,327736.18,669720.91
"Walter Scott Avenue",,Yes,"Wybone S/L",SB,327968.47,670481.82
"Walter Scott Avenue",,Yes,"Wybone S/L",SB,327988.11,670494.18
"Walter Scott Avenue",,Yes,"Wybone S/L",SB,328016.38,670517.2
"Walter Scott Avenue",,Yes,"Wybone S/L",SB,327950.64,670466.42
"Alnwickhill Drive","At junction of Alnwickhill Road","Not Applicable",Neopolitan,"Not Applicable",327127.74,668826.4
"Sharpdale Loan","At entrance to Inch park on Sharpdale Loan",Yes,"Derby Round","Not Applicable",327534.3,671145.11
"Sharpdale Loan","Just past mini roundabout in car park at entrance to Inch Park",Yes,"Derby Round","Not Applicable",327477.79,671073.81
"Lasswade Road","At bus stop top of Lasswade Road",Yes,"Wybone S/l","Not Applicable",328687.31,667821.91
"Lasswade Road","At junction with Gilmerton Dykes avenue",Yes,"Derby Round","Not Applicable",328430.31,668188.64
Netherbank,"Stanedykehead seven acre park","Not Applicable","Derby Round","Not Applicable",326673.81,668892.54
"Gilmerton Dykes Road",,Yes,"Derby Double Slimline","Not Applicable",328785.68,667976.48
"Fernieside Drive","Entrance to old folks housing",Yes,Wybone,SB,329334.72,669516.09
"Mansion Lane","Entrance to Gracemount park",Yes,"Derby Round","Not Applicable",327832.26,668625.09
"Netherbank View","Opposite number 1",Yes,"Derby Round","Not Applicable",326620.16,668785.79
"Gracemount House Drive Play Area",,No,"Not Applicable","Not Applicable",327851.83,668625.21
"Ellangowan Terrace","At path beside number 21",Yes,Barnsley,"Not Applicable",328070.56,670374.14
"Liberton Road","Just before Gilmerton road at bus stop heading into town",Yes,"Derby Slimline","Not Applicable",327171.92,670693.57
"The Murrays Brae",,Yes,"Wybone S/L","Not Applicable",328415.93,667981.7
"Captain's Drive","In car park next to nursery",Yes,"Derby Standard","Not Applicable",327702.63,668468.83
"Moredunvale Road","At bus stop outside garage","Not Applicable",Neopolitan,"Not Applicable",328468.56,669522.35
"Burdiehouse Road","At bus stop",Yes,"Derbt Slimline",SB,327474.93,667761.71
"Lady Road","At taxi rank",Yes,"Derby Standard","Not Applicable",327381.08,671183.86
"Gilmerton Road","Outside number 32 Kirk Brae",Yes,"Wybone S/l","Not Applicable",327302.65,670027.99
"Mortonhall Community Park","At Mortonhall community park",No,"Not Applicable","Not Applicable",326667.35,668092.64
"Cadogan Road","Opposite Cadogan Road junction with liberton drive .",Yes,Neopolitan,"Not Applicable",327038.8,669386.76
"Howden Hall Way","Opposite number 64 Howden hall Drive",No,Neopolitan,"Not Applicable",326956.62,668429.18
