Site,Location,Ashtray,Type,Direction,Easting,Northing
"Dolphin Gardens East","On grass area on footpath overlooking schools",Yes,"Derby Standard Green",WB,317698.68,667695.32
"Curriehill Road","At bus stop opposite primary school",Yes,"Derby Auto Slimline",SB,317969.13,667946.24
"Curriehill Road","At bus stop opposite number 14",Yes,"Derby Auto Slimline",WB,318013.06,667871.37
"Dumbeg Park","Can do with bin being placed at football play area as none","Not Applicable","Not Applicable","Not Applicable",320050.75,669630.29
"Cycle Track - Balerno To Slateford - Eas","Outside bonaly reservoir at gate torduff road",Yes,"Derby Standard",NB,320617.15,667674.02
"East Rigg Farm","Theapmuir car park",Yes,"Derby Slimline Green",SB,316664.32,663882.65
"Currievale Drive","At entrance to Roley's wood",Yes,"Wybone S/l",NB,317613.34,668041.52
"Currievale Drive","On footpath beside number 163 on grass",No,Barnsley,SB,317008.23,667739.62
"Clovenstone Gardens","Bin in playpark at rear of Clovenstone gardens",Yes,"Derby Standard Green",NB,320515.59,669570.5
"Main Street",,Yes,"Wybone S/l",WB,313832.12,670704.38
"Ratho Park Road","Next to the playpark equipment",No,Routemaster,SB,314103.09,670727.6
"Muir Wood Park Play Area","In playpark",Yes,Routemaster,EB,318676.92,668388.34
"Currievale Park Grove","On footpath leading to rear of high school",Yes,"Derby Standard Green",SB,317281.18,667776.57
"Baberton Mains Way","Beside lamppost Bbb17",Yes,Wybone,WB,319116.95,669260.94
"Riccarton Mains Road","Outside number 76 at bus stop",Yes,"Derby Auto Slimline",EB,318196.89,668303.21
"Dolphin Avenue","Outside the shops in car parking area against the wall",No,"Half Edinburgh",EB,317654.35,667663.22
"Lanark Road","Bus stop outside bowling club",Yes,"Derby Standard",EB,322081.39,670706.64
"Muirwood Park","On the footpath next to the wood area",Yes,"Derby Slimline Green",NB,318622.03,668333.37
"Timmins Court","At bus stop near main street",Yes,Wybone,EB,313846.5,670682.81
"Hallcroft Park","At bus terminal - hallcroft park",No,Neopolitan,NB,313284.6,670766.44
