dz_label,overall_rank,income_deprivation_rank,employment_deprivation_rank,health_deprivation_rank,education_deprivation_rank,access_deprivation_rank,housing_deprivation_rank,crime_deprivation_rank
Data Zone S01000172,4990,5612,5264,3731,3168,2952,2229,4446
Data Zone S01000173,2090,2577,2431,1242,1332,3655,2299,2089
Data Zone S01000174,6309,6497,6487,6147,6290,1558,6427,6009
Data Zone S01000175,3012,3826,3024,3195,1942,6184,990,335
Data Zone S01000176,5862,5505,6091,4192,5521,4477,708,5551
Data Zone S01000177,5958,5741,6168,4558,4775,4922,4758,2757
Data Zone S01000178,2399,2594,2505,2141,1438,5767,1721,1845
Data Zone S01000179,351,579,621,71,306,3446,1252,560
Data Zone S01000180,2053,2001,2078,1451,1663,6237,1207,2884
Data Zone S01000181,1002,1416,1245,1135,334,4361,856,668
Data Zone S01000182,1921,2657,2172,1021,877,4743,1653,3118
Data Zone S01000183,2106,2445,2980,1556,1431,4606,756,429
Data Zone S01000184,5240,5234,5200,4114,3513,5162,4851,2845
Data Zone S01000185,959,1531,1211,287,882,4498,1510,465
Data Zone S01000186,3755,3485,3860,1829,4846,4010,3927,2653
Data Zone S01000187,1972,3148,2166,1413,650,4667,1873,1686
Data Zone S01000188,2706,3435,3400,662,3092,5350,927,1725
Data Zone S01000189,828,637,1836,1201,228,3537,948,935
Data Zone S01000190,1630,2336,1716,1278,905,6193,2076,367
Data Zone S01000191,5052,5130,5365,3247,3563,5290,3389,2614
Data Zone S01000192,1424,1636,2318,622,871,5828,788,715
Data Zone S01000193,1295,1709,1330,718,756,6185,1159,1997
Data Zone S01000194,872,1013,1427,446,557,5693,1367,287
Data Zone S01000195,863,1375,625,713,919,4056,1654,656
Data Zone S01000196,284,430,722,221,38,5811,1917,107
Data Zone S01000197,1873,2484,2422,1742,469,4998,1108,2105
Data Zone S01000198,387,342,903,242,201,3762,1594,648
Data Zone S01000199,689,869,1276,152,562,6261,1511,323
Data Zone S01000200,2026,2645,2381,1341,906,5620,1553,1614
Data Zone S01000201,2151,2559,2121,929,2591,4762,1768,1979
Data Zone S01000202,3452,3629,3974,1745,2967,6421,2003,1278
Data Zone S01000203,496,766,916,275,166,4912,1545,219
Data Zone S01000204,1404,1731,1129,1516,1470,2926,1890,1335
Data Zone S01000205,3178,4098,4243,1580,1771,4593,762,1672
Data Zone S01000206,2959,3758,3704,1485,1819,2773,3628,2630
Data Zone S01000207,847,905,914,350,1415,4088,1804,1241
Data Zone S01000208,396,798,446,391,145,4400,1609,184
Data Zone S01000209,275,283,983,61,144,5045,1584,234
Data Zone S01000210,430,986,373,176,404,6496,712,291
Data Zone S01000211,986,1191,1364,315,1483,5183,994,230
Data Zone S01000212,2012,2464,3051,1496,992,2178,1951,1561
