dz_label,overall_rank,income_deprivation_rank,employment_deprivation_rank,health_deprivation_rank,education_deprivation_rank,access_deprivation_rank,housing_deprivation_rank,crime_deprivation_rank
Data Zone S01003282,4513,3933,3943,4904,3607,6326,2041,2211
Data Zone S01003283,3859,3325,3644,2908,4053,5079,1256,3435
Data Zone S01003284,840,857,669,264,2683,5369,315,2923
Data Zone S01003285,1591,2600,3455,1442,163,6016,565,159
Data Zone S01003286,1017,1053,763,861,2353,4267,491,876
Data Zone S01003287,423,67,775,460,1217,5738,1910,2991
Data Zone S01003288,4932,4562,4041,3600,5169,4721,3752,4806
Data Zone S01003289,831,569,1306,1576,522,3651,579,889
Data Zone S01003290,652,512,707,352,1590,5980,372,753
Data Zone S01003291,296,264,294,435,356,4447,813,2677
Data Zone S01003292,3691,3030,3097,4089,4035,4175,2219,3238
Data Zone S01003293,108,68,171,52,375,6501,483,776
Data Zone S01003294,1092,937,886,936,1543,5894,637,2287
Data Zone S01003295,4173,3744,3498,2620,4476,5650,4911,4335
Data Zone S01003296,24,26,44,55,46,5971,224,242
Data Zone S01003297,176,294,94,760,154,4588,423,570
Data Zone S01003298,2338,2108,3421,671,3242,5751,1125,1917
Data Zone S01003299,266,385,528,150,107,5834,153,897
Data Zone S01003300,2510,2834,2436,1659,2887,4389,665,1794
Data Zone S01003301,197,369,174,163,342,6085,337,301
Data Zone S01003302,185,250,350,561,111,3042,85,78
Data Zone S01003303,1552,3281,2175,182,2392,3565,731,173
Data Zone S01003304,2501,2378,3126,1827,2379,6236,62,1532
Data Zone S01003305,2035,1977,2518,1162,1940,6386,1058,1088
Data Zone S01003306,975,710,1100,487,2076,4909,356,2730
Data Zone S01003307,499,527,522,174,910,5072,303,2881
Data Zone S01003308,924,1142,750,1134,997,1973,926,2041
Data Zone S01003309,58,94,45,21,303,6142,645,624
Data Zone S01003310,1352,1065,1607,1062,1380,5181,640,2475
Data Zone S01003311,4705,4754,4281,3819,4335,3155,1580,4502
Data Zone S01003312,856,802,793,560,1214,4848,499,3262
Data Zone S01003313,77,205,19,1,926,6367,256,222
Data Zone S01003314,42,151,22,42,156,6337,307,11
Data Zone S01003315,2252,1868,3328,963,2449,5239,894,2345
Data Zone S01003316,934,761,1145,1594,679,6458,209,461
Data Zone S01003317,2139,1834,2483,3275,1426,2045,1524,3749
Data Zone S01003318,4073,3789,3754,3428,3752,3515,3582,3729
Data Zone S01003319,5108,6502,6504,6344,891,5823,24,6487
Data Zone S01003320,3119,3515,3743,2949,1746,6090,93,1204
Data Zone S01003321,3689,3033,3256,3345,3947,3375,5294,4686
Data Zone S01003322,1003,1390,1193,329,1391,6405,10,718
Data Zone S01003323,4589,4777,3925,4149,4471,2603,1438,4985
Data Zone S01003324,1562,2475,2152,1159,513,6310,57,670
Data Zone S01003325,2955,2056,3435,3100,2619,4507,995,3761
Data Zone S01003326,567,348,402,817,1421,5130,956,2121
Data Zone S01003327,967,1128,1242,426,1468,5994,294,238
Data Zone S01003328,2928,3617,3515,2034,3808,4272,506,130
Data Zone S01003329,1656,2047,1298,855,2671,5641,1054,1305
Data Zone S01003330,5317,4978,5025,5213,4881,2051,4677,6381
Data Zone S01003331,231,180,156,110,1580,5882,1127,1884
Data Zone S01003332,818,702,1456,1421,419,2532,102,999
Data Zone S01003333,356,403,427,147,852,5168,873,304
Data Zone S01003334,1031,1047,1331,529,1129,3430,604,2008
Data Zone S01003335,1443,1668,1598,1482,2327,3564,621,46
Data Zone S01003336,129,139,88,100,754,5286,729,425
Data Zone S01003337,25,21,41,36,224,3117,178,261
Data Zone S01003338,2312,2157,2464,1741,2402,5619,603,2068
Data Zone S01003339,1927,1567,3146,1363,1473,2940,446,3450
Data Zone S01003340,650,520,678,294,1502,5456,982,1266
Data Zone S01003341,4852,4380,4681,5415,3896,2694,3287,3883
Data Zone S01003342,151,231,272,33,307,5635,69,494
Data Zone S01003343,121,154,262,95,84,2722,139,2388
Data Zone S01003344,2593,2664,3626,5155,668,1884,571,4509
Data Zone S01003345,1300,1232,1355,867,1784,3436,716,2479
Data Zone S01003346,589,828,677,102,772,5394,819,1607
Data Zone S01003347,33,58,56,28,88,4514,175,396
Data Zone S01003348,2333,2495,2807,1126,2340,5400,1234,1505
Data Zone S01003349,541,724,652,127,702,5148,426,1492
Data Zone S01003350,1105,1037,1917,1154,476,1760,488,2959
Data Zone S01003351,508,929,834,48,482,5920,54,674
Data Zone S01003352,283,399,207,227,849,3396,231,1287
Data Zone S01003353,273,447,430,74,402,6385,282,185
Data Zone S01003354,277,234,247,85,1446,3932,511,4425
Data Zone S01003355,1276,986,1560,1011,1166,6390,921,1666
Data Zone S01003356,146,160,99,397,302,6470,335,488
Data Zone S01003357,471,681,890,457,151,4006,197,269
Data Zone S01003358,1847,3036,2555,490,4051,3726,378,12
Data Zone S01003359,5100,5196,4704,5626,4031,2200,4200,4089
Data Zone S01003360,1670,2444,2066,1096,1171,2419,1627,865
Data Zone S01003361,581,639,390,429,1140,4709,581,2334
Data Zone S01003362,579,723,1277,317,249,982,856,3248
Data Zone S01003363,726,622,685,477,1146,4629,1169,2951
Data Zone S01003364,248,308,364,107,489,6252,182,324
Data Zone S01003365,741,1584,899,259,381,4136,309,928
Data Zone S01003366,4833,5698,5771,5857,3239,4018,237,382
Data Zone S01003367,35,39,53,7,281,6070,269,94
Data Zone S01003368,4919,5288,5729,2803,5816,3660,184,1895
Data Zone S01003369,400,296,253,416,1038,4578,898,4853
Data Zone S01003370,3868,3528,4678,5031,1557,6490,170,2400
Data Zone S01003371,3272,3081,3123,4391,2330,6417,74,2352
Data Zone S01003372,373,353,495,452,212,3643,1045,2033
Data Zone S01003373,555,984,574,229,1187,4409,484,4
Data Zone S01003374,199,122,328,2921,53,1968,1025,246
Data Zone S01003375,1537,1747,1874,321,2123,4989,460,4143
Data Zone S01003376,49,130,78,70,81,2414,110,708
Data Zone S01003377,767,791,576,440,1702,4901,503,2189
Data Zone S01003378,750,817,1344,1001,122,4666,193,1500
Data Zone S01003379,10,12,35,82,8,3918,5,536
Data Zone S01003380,2936,2492,3510,2663,2141,6415,366,2085
Data Zone S01003381,1651,1586,1787,1067,2251,3326,379,2961
Data Zone S01003382,2773,3253,3369,2396,1330,5530,487,1409
Data Zone S01003383,1226,1219,1253,621,1860,5121,983,1303
Data Zone S01003384,715,692,690,260,1224,5713,1422,2835
Data Zone S01003385,3292,2758,3257,2890,3542,6320,227,2996
Data Zone S01003386,420,372,451,144,1142,5594,457,1750
Data Zone S01003387,399,481,423,346,667,4127,60,544
Data Zone S01003388,177,199,393,138,146,4034,326,918
Data Zone S01003389,175,244,240,253,280,5069,61,189
Data Zone S01003390,36,73,60,9,159,2897,177,375
Data Zone S01003391,169,119,123,536,345,5911,538,1536
Data Zone S01003392,2292,1902,2679,2534,1995,6092,183,1655
Data Zone S01003393,808,1108,676,189,1561,4896,797,3251
Data Zone S01003394,760,942,896,1471,441,1097,46,3120
Data Zone S01003395,2990,2387,3305,3925,1519,6222,438,4167
Data Zone S01003396,424,599,388,252,554,6158,190,1028
Data Zone S01003397,27,11,59,90,11,4662,118,1539
Data Zone S01003398,341,314,709,255,183,4078,334,1585
Data Zone S01003399,4029,4598,5202,4726,2237,3228,406,690
Data Zone S01003400,805,716,1033,130,1875,5977,1268,2402
Data Zone S01003401,12,15,47,8,59,3792,69,417
Data Zone S01003402,11,8,33,15,58,4550,111,569
Data Zone S01003403,2036,2429,2635,1717,1389,6471,217,358
Data Zone S01003404,78,93,122,205,100,4525,1,1234
Data Zone S01003405,849,1265,680,727,924,1479,253,6439
Data Zone S01003406,1880,2133,1671,2101,1059,6012,264,3505
Data Zone S01003407,1409,1212,1178,1087,2728,4609,1410,1721
Data Zone S01003408,1051,544,1235,1505,1817,6032,468,771
Data Zone S01003409,2353,2738,3800,624,2193,6026,268,1538
Data Zone S01003410,2834,3235,3326,2760,4217,5502,207,1
Data Zone S01003411,406,359,461,216,657,6002,591,1479
Data Zone S01003412,733,627,823,574,887,5827,420,1462
Data Zone S01003413,1076,1251,1257,476,1309,3928,593,1163
Data Zone S01003414,158,192,164,600,219,2709,80,546
Data Zone S01003415,2065,2489,3028,2210,1139,2076,116,1541
Data Zone S01003416,165,240,219,18,955,4817,476,132
Data Zone S01003417,2629,2514,3022,2407,1458,6439,199,3365
Data Zone S01003418,134,265,173,39,230,5437,157,423
Data Zone S01003419,55,56,93,208,121,3195,161,485
Data Zone S01003420,739,1985,1008,1132,12,6060,83,196
Data Zone S01003421,217,162,239,282,644,3884,516,1736
Data Zone S01003422,1077,863,1377,800,842,6163,206,2838
Data Zone S01003423,4169,4807,4696,3966,1571,6286,339,2619
Data Zone S01003424,166,390,296,12,239,6138,44,216
Data Zone S01003425,3733,3384,3580,4244,2960,6491,188,2095
Data Zone S01003426,1574,1499,1483,1033,2834,4961,259,1490
Data Zone S01003427,645,658,336,430,2018,4368,1027,2538
Data Zone S01003428,53,109,23,97,338,3304,260,487
Data Zone S01003429,5589,5353,6056,6394,3091,6455,156,3376
Data Zone S01003430,3155,2966,3264,4423,2185,6387,201,1029
Data Zone S01003431,385,422,356,327,452,5512,246,2107
Data Zone S01003432,4153,4525,5139,5671,1523,6487,350,722
Data Zone S01003433,3788,4049,4485,4265,4815,5964,121,16
Data Zone S01003434,118,102,77,316,292,5309,17,2969
Data Zone S01003435,90,108,271,88,72,3107,92,657
Data Zone S01003436,1590,3035,1910,631,2468,2620,704,35
Data Zone S01003437,4736,5115,5026,5856,3123,6368,300,474
Data Zone S01003438,4899,4271,4337,4941,4637,5484,342,4238
Data Zone S01003439,216,249,131,44,3431,5333,733,292
Data Zone S01003440,795,678,848,518,1469,5164,641,1073
Data Zone S01003441,124,263,169,77,190,6137,77,102
Data Zone S01003442,602,649,794,274,515,6048,676,1070
Data Zone S01003443,332,486,535,177,210,3633,428,976
Data Zone S01003444,30,46,64,37,16,6259,88,611
Data Zone S01003445,985,1166,1136,591,949,4800,515,869
Data Zone S01003446,3577,3433,3657,3987,3196,5543,132,1304
Data Zone S01003447,2513,3184,4143,1651,948,3044,134,3300
Data Zone S01003448,1209,1012,1329,423,2003,5645,746,4172
Data Zone S01003449,3203,2423,3148,4372,3924,5943,104,1458
Data Zone S01003450,866,877,628,501,2099,6272,180,1937
Data Zone S01003451,2879,2538,2509,3722,2432,6411,686,1892
Data Zone S01003452,2400,4659,3701,1357,833,3150,2174,264
Data Zone S01003453,4924,4597,4904,5883,2905,5991,519,2642
Data Zone S01003454,1539,1522,1945,3022,744,6396,283,199
Data Zone S01003455,20,10,26,43,48,4900,218,1839
Data Zone S01003456,71,138,220,115,10,2524,21,760
Data Zone S01003457,357,591,585,415,34,5902,301,535
Data Zone S01003458,1244,1338,1477,1040,680,4005,720,2638
Data Zone S01003459,444,535,731,191,437,4598,252,675
Data Zone S01003460,3800,4127,4797,4000,3185,4219,318,255
Data Zone S01003461,1789,1280,1579,2136,2437,3838,1424,4401
Data Zone S01003462,149,71,179,864,184,4084,502,966
Data Zone S01003463,1351,1039,2571,1180,640,5632,340,1267
Data Zone S01003464,3706,2709,4192,5502,3011,6392,222,1179
Data Zone S01003465,3709,3507,3751,2917,3860,6231,99,2062
Data Zone S01003466,868,951,714,815,2238,6437,95,119
Data Zone S01003467,615,673,553,410,767,3174,609,3225
Data Zone S01003468,2758,2381,3324,3748,1863,6152,70,1292
Data Zone S01003469,1243,1418,1177,875,1370,6420,656,673
Data Zone S01003470,2466,2952,2743,3430,1465,6121,4,612
Data Zone S01003471,91,64,175,200,65,5633,324,1251
Data Zone S01003472,992,708,915,1039,1703,5758,345,1982
Data Zone S01003473,1471,1517,1520,1455,1736,5951,354,389
Data Zone S01003474,4893,4260,5507,6037,4111,6198,63,1041
Data Zone S01003475,1571,1349,1951,1193,1541,6464,357,1175
Data Zone S01003476,2284,2506,2371,1839,2239,2596,857,3336
Data Zone S01003477,2745,2809,2386,1695,4012,6395,79,2947
Data Zone S01003478,2190,2117,2358,2255,2005,6216,89,1184
Data Zone S01003479,3512,3402,2769,3210,4068,6414,64,4323
Data Zone S01003480,220,158,166,158,1407,5830,674,1674
Data Zone S01003481,2402,1941,2378,2539,2711,6449,533,1711
Data Zone S01003482,113,87,96,628,137,6056,225,473
Data Zone S01003483,447,208,537,710,1162,3063,65,2971
Data Zone S01003484,3507,3563,3667,3516,4205,5996,436,272
Data Zone S01003485,5242,4830,5307,6069,3417,5999,148,3866
Data Zone S01003486,123,141,283,120,106,3183,158,922
Data Zone S01003487,2890,2501,3609,2287,2868,6017,126,1349
Data Zone S01003488,477,948,749,73,274,3306,383,2213
Data Zone S01003489,83,175,141,47,66,4024,381,1195
Data Zone S01003490,917,504,940,1042,1688,6407,689,1576
Data Zone S01003491,3043,3886,4710,4220,854,6087,73,266
Data Zone S01003492,1752,1533,2087,1868,1708,4271,465,1224
Data Zone S01003493,327,406,162,773,440,5528,455,1159
Data Zone S01003494,999,885,1793,780,399,6440,284,1509
Data Zone S01003495,1281,1541,2204,566,672,5788,549,626
Data Zone S01003496,3614,3146,3329,4090,3259,6315,122,2995
Data Zone S01003497,4368,3856,3520,5040,4839,6010,570,1944
Data Zone S01003498,1166,858,736,1000,3494,5466,955,2905
Data Zone S01003499,2293,1640,2314,2281,3330,5950,91,3431
Data Zone S01003500,234,125,170,2031,203,6217,322,1264
Data Zone S01003501,3703,3733,3950,4808,2602,6493,151,622
Data Zone S01003502,1456,2055,2058,1475,1130,1368,97,796
Data Zone S01003503,5622,4317,4913,5946,6206,6339,588,4924
Data Zone S01003504,4559,4432,4299,5830,4037,6263,233,769
Data Zone S01003505,3453,6502,6505,5955,29,4399,119,6487
Data Zone S01003506,4677,3914,4082,5344,4715,6292,646,1931
Data Zone S01003507,4961,4132,5084,5938,3931,6215,1049,1360
Data Zone S01003508,432,428,198,381,1978,5059,442,2174
Data Zone S01003509,6417,6039,6187,6424,6049,5976,900,4175
Data Zone S01003510,1894,2482,2787,3073,298,4686,168,1436
Data Zone S01003511,6147,5801,5869,4925,6430,6274,2180,2122
Data Zone S01003512,347,352,355,323,580,4328,155,1665
Data Zone S01003513,5177,4634,4775,5926,4360,6052,229,3223
Data Zone S01003514,5107,4613,5674,5831,4237,6178,346,854
Data Zone S01003515,94,79,119,280,136,4118,425,761
Data Zone S01003516,3686,4029,3271,2467,4448,3098,1110,3338
Data Zone S01003517,3599,3293,3318,4002,2623,6206,451,3057
Data Zone S01003518,643,505,483,456,1801,6502,759,1038
Data Zone S01003519,402,490,339,367,707,5924,105,555
Data Zone S01003520,4975,3348,4738,4415,5743,6473,1080,5094
Data Zone S01003521,5015,5287,5785,6157,3226,6204,131,600
Data Zone S01003522,5269,5015,4300,5541,4796,6046,573,3678
Data Zone S01003523,561,772,310,643,1299,3853,51,1049
Data Zone S01003524,5591,4573,5263,5500,6036,5151,2027,2624
Data Zone S01003525,5663,4416,5406,5705,5633,6011,897,4199
Data Zone S01003526,5384,4782,4902,6116,5033,5472,1581,1773
Data Zone S01003527,5749,5095,5021,5553,6380,3906,3504,3677
Data Zone S01003528,2665,2485,2761,3246,1742,3129,959,4533
Data Zone S01003529,4596,4188,4256,5431,2531,4716,2169,4514
Data Zone S01003530,5383,4727,5373,6126,4159,5291,353,3553
Data Zone S01003531,408,513,335,516,656,6485,107,205
Data Zone S01003532,4432,3226,3732,3506,5899,5925,4421,3680
Data Zone S01003533,2814,4498,5148,4274,130,3986,373,2239
Data Zone S01003534,1708,1929,2334,978,983,6205,1099,1092
Data Zone S01003535,1597,1566,1199,1889,1867,6460,542,1445
Data Zone S01003536,6480,6103,6279,5848,6370,6500,3340,4332
Data Zone S01003537,1349,1011,1468,1189,1396,5802,616,3085
Data Zone S01003538,702,640,705,629,786,4467,561,2461
Data Zone S01003539,6240,5364,5834,5753,6396,4523,2875,5204
Data Zone S01003540,258,822,500,38,55,4481,41,581
Data Zone S01003541,976,1044,1551,848,654,3942,498,356
Data Zone S01003542,5339,4140,5135,4411,6091,6294,1961,2826
Data Zone S01003543,355,360,400,663,213,5728,281,913
Data Zone S01003544,5937,5300,4971,5879,6111,4645,2604,4676
Data Zone S01003545,6356,5949,5687,6467,6000,5921,1442,4281
Data Zone S01003546,232,203,324,211,330,5033,476,1657
Data Zone S01003547,3117,3286,2680,2830,2931,4929,652,2527
Data Zone S01003548,2332,3192,4467,3561,501,4143,365,112
Data Zone S01003549,181,217,354,219,112,2982,173,1573
Data Zone S01003550,4270,4336,4184,3631,3613,2008,3184,5642
Data Zone S01003551,566,835,924,206,344,4435,141,924
Data Zone S01003552,6370,5569,6007,6308,5997,5957,1492,5122
Data Zone S01003553,67,113,76,58,119,4456,375,1941
Data Zone S01003554,5261,4786,4792,4169,5673,4581,793,5143
Data Zone S01003555,6098,5728,6182,6412,5991,4646,1766,1559
Data Zone S01003556,6319,5655,5755,5952,6466,5986,5463,2660
Data Zone S01003557,140,220,237,289,21,4438,58,682
Data Zone S01003558,6408,5791,5924,5501,6473,6380,4914,3824
Data Zone S01003559,5926,5495,4751,5639,6007,6461,5292,2319
Data Zone S01003560,5955,5317,5742,5011,6148,3661,4590,4128
Data Zone S01003561,681,493,1034,355,1031,4924,599,1418
Data Zone S01003562,135,96,347,235,61,6438,254,371
Data Zone S01003563,421,311,468,422,789,4597,382,1354
Data Zone S01003564,3,6,10,22,19,6077,493,73
Data Zone S01003565,202,214,229,27,699,5770,996,2865
Data Zone S01003566,3907,3231,3724,3575,5409,5244,523,1440
Data Zone S01003567,98,131,191,139,49,4243,526,566
Data Zone S01003568,6334,5649,6023,6026,6071,4847,4494,4048
Data Zone S01003569,5671,4393,5883,4825,6110,3323,5261,5190
Data Zone S01003570,5837,4582,5206,5427,5961,5710,3160,4911
Data Zone S01003571,730,781,779,819,512,6098,752,694
Data Zone S01003572,167,181,274,114,309,5967,211,545
Data Zone S01003573,590,735,751,106,798,4511,630,2326
Data Zone S01003574,5259,4869,4680,5867,4961,4977,668,2712
Data Zone S01003575,802,833,907,439,856,6139,306,1954
Data Zone S01003576,5224,5458,5041,4952,6031,4180,1365,744
Data Zone S01003577,790,954,538,688,1717,3916,558,874
Data Zone S01003578,678,934,622,1682,142,4519,16,3145
Data Zone S01003579,26,27,70,6,33,4825,404,871
Data Zone S01003580,1073,756,1115,1509,1055,5968,692,1201
Data Zone S01003581,2855,2987,3651,2411,1780,4427,159,2059
Data Zone S01003582,2,5,4,2,25,5655,325,220
Data Zone S01003583,229,142,238,917,235,3664,467,2616
Data Zone S01003584,506,324,683,889,710,5793,154,315
Data Zone S01003585,707,657,864,1431,188,6305,250,1967
Data Zone S01003586,1033,683,1169,1152,1301,5687,402,1616
Data Zone S01003587,6387,6060,6308,6272,6460,3747,5652,3088
Data Zone S01003588,4022,4424,3641,4974,4294,1032,647,5690
Data Zone S01003589,6366,5753,6249,6224,5922,4179,4739,4321
Data Zone S01003590,515,596,642,1362,101,5282,527,522
Data Zone S01003591,6132,5844,5780,6028,6037,2482,5139,5364
Data Zone S01003592,685,767,491,1830,445,3915,464,1577
Data Zone S01003593,1945,1777,2396,1667,1967,5699,1088,475
Data Zone S01003594,5981,5327,6035,4065,6362,4343,4731,4054
Data Zone S01003595,29,45,50,60,30,5016,414,243
Data Zone S01003596,73,78,17,358,531,4291,174,476
Data Zone S01003597,5841,5990,5409,4259,5792,3694,4794,3535
Data Zone S01003598,1187,1084,1172,961,1304,4753,448,2750
Data Zone S01003599,1013,1255,1293,362,1275,4367,509,862
Data Zone S01003600,76,124,43,50,456,5292,87,1484
Data Zone S01003601,178,148,282,310,245,5906,470,368
Data Zone S01003602,1227,1401,785,1458,1453,3912,497,3228
Data Zone S01003603,208,267,74,395,1044,4604,827,649
Data Zone S01003604,838,852,1078,833,914,5520,108,308
Data Zone S01003605,259,322,68,881,1203,4985,691,254
Data Zone S01003606,1034,1050,727,813,2049,3718,1160,2250
Data Zone S01003607,1388,1475,1385,1035,1685,2135,688,4314
Data Zone S01003608,1527,1322,1127,1385,2855,4258,1326,2780
Data Zone S01003609,5062,3920,4927,3578,6385,5172,2916,3303
Data Zone S01003610,485,292,769,877,329,4795,408,1474
Data Zone S01003611,254,254,374,129,327,5825,707,1153
Data Zone S01003612,4742,3729,4329,4080,4572,4547,2848,5609
Data Zone S01003613,3890,3681,4199,2894,4213,1925,3601,3558
Data Zone S01003614,3253,2391,2709,2786,5867,4668,864,4481
Data Zone S01003615,854,523,893,2391,563,3720,958,2836
Data Zone S01003616,5544,4955,5668,5773,3946,3102,4589,4870
Data Zone S01003617,60,60,52,212,221,4537,172,403
Data Zone S01003618,2976,2708,3129,1835,3402,4269,1523,2909
Data Zone S01003619,207,120,366,581,223,6083,295,471
Data Zone S01003620,5172,4610,4677,5395,4949,3613,1964,3954
Data Zone S01003621,528,625,591,241,661,2858,970,2988
Data Zone S01003622,1794,1701,1861,950,2149,4689,930,4105
Data Zone S01003623,5351,5184,4779,4731,6083,2586,3944,3818
Data Zone S01003624,556,860,814,168,480,2568,659,1220
Data Zone S01003625,1906,3090,2399,4998,123,3808,440,1740
Data Zone S01003626,4182,4242,4110,3633,4062,2396,2553,2924
Data Zone S01003627,150,302,104,598,6,4729,820,1508
Data Zone S01003628,683,848,759,753,451,3536,501,1194
Data Zone S01003629,249,356,386,153,294,2964,376,797
Data Zone S01003630,1085,831,861,1256,1974,3976,1335,1637
Data Zone S01003631,4021,3208,4102,4099,3255,4111,1955,3791
Data Zone S01003632,4926,4125,4173,5940,5663,2916,1960,4036
Data Zone S01003633,2425,2194,2473,2518,1812,5858,974,2516
Data Zone S01003634,343,418,384,256,511,2989,454,1383
Data Zone S01003635,1123,1130,718,1640,1818,6356,136,750
Data Zone S01003636,329,517,264,288,418,3347,204,2208
Data Zone S01003637,2242,1849,2553,1208,2725,6282,642,3139
Data Zone S01003638,3913,3277,3597,4289,4569,2847,1199,3547
Data Zone S01003639,1186,1141,897,1833,843,4657,535,4548
Data Zone S01003640,350,433,525,185,413,3435,149,1146
Data Zone S01003641,4598,4259,4307,4889,3767,2336,5840,4066
Data Zone S01003642,1753,1310,1915,1403,2011,5031,1033,3688
Data Zone S01003643,1728,1528,1632,3979,1851,3545,590,464
Data Zone S01003644,267,394,258,124,649,4404,885,655
Data Zone S01003645,1724,1511,2111,1203,2417,2763,1112,2052
Data Zone S01003646,103,184,63,812,118,2332,267,138
Data Zone S01003647,2161,1826,2218,1606,2433,5411,1017,2803
Data Zone S01003648,2847,2585,3107,2376,2081,5524,412,3646
Data Zone S01003649,2963,2751,3131,2378,2572,3050,2324,4148
Data Zone S01003650,252,525,130,765,222,3182,112,692
Data Zone S01003651,1224,1018,1002,1546,1631,4070,783,2377
Data Zone S01003652,792,601,982,891,840,4123,343,1705
Data Zone S01003653,50,129,132,45,131,2252,18,109
Data Zone S01003654,540,612,572,237,674,4306,336,3281
Data Zone S01003655,539,652,743,547,215,3104,537,1993
Data Zone S01003656,659,739,1124,573,374,1667,936,1202
Data Zone S01003657,446,484,603,433,449,2341,30,2531
Data Zone S01003658,2960,2949,2455,2538,2983,4918,2088,2629
Data Zone S01003659,3711,3247,3117,3676,3871,6110,344,3451
Data Zone S01003660,5557,5556,5535,6093,4015,1805,5599,6075
Data Zone S01003661,5076,5431,4338,5149,4884,2470,2286,3618
Data Zone S01003662,1032,1139,704,1160,1803,3085,978,1390
Data Zone S01003663,190,289,67,364,978,3984,359,334
Data Zone S01003664,628,687,481,1435,436,2587,409,2460
Data Zone S01003665,19,16,37,134,51,3658,456,120
Data Zone S01003666,16,19,20,16,229,1875,20,905
Data Zone S01003667,3389,3270,2938,2765,3536,4200,620,5688
Data Zone S01003668,1967,1653,1936,1097,2871,5663,998,3544
Data Zone S01003669,911,1190,1486,846,616,1494,316,594
Data Zone S01003670,262,233,329,431,484,2282,713,1100
Data Zone S01003671,1438,1086,1739,1753,1691,4798,548,623
Data Zone S01003672,48,49,61,436,60,2483,137,631
Data Zone S01003673,51,132,31,57,189,5676,363,320
Data Zone S01003674,1279,1284,1289,1277,1361,2544,433,2943
Data Zone S01003675,4984,5284,4075,3954,4802,4245,1784,3847
Data Zone S01003676,3431,3491,3332,3515,1850,5114,530,5296
Data Zone S01003677,811,996,856,670,739,2693,608,2307
Data Zone S01003678,1071,1029,1209,851,742,5173,524,2588
Data Zone S01003679,552,585,391,506,964,4472,223,2487
Data Zone S01003680,189,329,210,194,349,2394,7,1081
Data Zone S01003681,1722,1663,2580,1123,1537,2198,933,2521
Data Zone S01003682,3804,3596,3910,2070,3472,5133,2097,3766
Data Zone S01003683,2288,2278,2672,1837,2328,4259,1985,763
Data Zone S01003684,1367,1188,1204,1071,2274,4486,1144,2030
Data Zone S01003685,1682,1737,1295,2006,1747,4941,203,3062
Data Zone S01003686,1129,1040,1504,857,1477,1663,803,1716
Data Zone S01003687,18,17,13,198,24,4332,213,346
Data Zone S01003688,1136,1066,1353,491,1451,5257,622,1775
Data Zone S01003689,168,42,555,649,90,3162,45,1673
Data Zone S01003690,173,126,138,319,775,2834,679,1653
Data Zone S01003691,2549,2315,2322,2487,2883,3781,615,3828
Data Zone S01003692,1328,1293,1509,911,1772,3035,737,1806
Data Zone S01003693,968,1074,1264,989,727,2031,939,1228
Data Zone S01003694,2933,2861,2966,2770,2966,2599,1116,3068
Data Zone S01003695,1246,1093,1678,1478,916,2196,1276,1682
Data Zone S01003696,1132,975,1160,1210,1912,1817,666,1838
Data Zone S01003697,5392,5703,5273,4013,4833,3167,4578,2949
Data Zone S01003698,2145,1856,2533,2414,1963,3419,360,2198
Data Zone S01003699,4607,4895,4116,5404,3625,2001,846,5931
Data Zone S01003700,1600,1651,1689,952,1286,3638,1657,5765
Data Zone S01003701,317,510,144,413,1124,1703,328,1778
Data Zone S01003702,156,51,412,382,195,5213,9,857
Data Zone S01003703,654,790,536,703,834,3978,106,1109
Data Zone S01003704,272,245,340,414,412,3462,109,1578
Data Zone S01003705,182,50,426,923,254,2400,135,714
Data Zone S01003706,68,22,257,155,108,3410,31,663
Data Zone S01003707,154,207,448,173,42,5028,26,295
Data Zone S01003708,13,2,9,248,15,2479,563,603
Data Zone S01003709,6,3,6,66,96,5727,66,45
Data Zone S01003710,461,753,398,246,1417,840,560,1754
Data Zone S01003711,81,99,184,72,161,2904,418,709
Data Zone S01003712,407,519,499,324,279,4265,266,1377
Data Zone S01003713,538,561,981,913,110,4480,8,996
Data Zone S01003714,1112,806,1441,1932,659,3706,185,2378
Data Zone S01003715,2500,2736,2512,3361,1699,1969,845,4163
Data Zone S01003716,186,95,387,1230,45,3170,6,1697
Data Zone S01003717,99,189,145,279,28,2820,2,1004
Data Zone S01003718,302,395,464,234,323,1822,490,1664
Data Zone S01003719,3634,3944,4260,4047,5389,195,4233,5342
Data Zone S01003720,4069,5078,4901,5741,5021,88,2134,5377
Data Zone S01003721,3775,3836,3633,1517,3862,4751,4852,5078
Data Zone S01003722,2058,1761,2317,1570,2720,2533,2412,2641
Data Zone S01003723,4522,5114,5526,4295,5098,406,3688,3903
Data Zone S01003724,2152,2823,2706,847,2846,1344,2479,2438
Data Zone S01003725,3635,3552,4188,3893,5099,871,3310,1569
Data Zone S01003726,3698,4333,3976,3475,2947,919,5077,4346
Data Zone S01003727,2532,2623,3434,2907,2142,747,1965,3144
Data Zone S01003728,3242,3936,4042,5537,4736,23,1631,6396
Data Zone S01003729,2541,3091,2841,2061,2377,1226,4392,2312
Data Zone S01003730,994,1125,1275,1448,504,1274,2655,2114
Data Zone S01003731,1623,2091,1901,762,2641,3810,4000,91
Data Zone S01003732,4585,3779,5353,3009,4077,3358,3943,4306
Data Zone S01003733,1735,2020,2654,603,1408,2375,2763,3160
Data Zone S01003734,3160,3603,3913,1772,2737,2277,1750,2736
